,function,dimension,alpha,g,noise_std,seed,final_best,final_regret
0,sphere,2,hw,0,0.01,0,0.015895754990834045,-0.015895754990834045
1,sphere,2,hw,1,0.01,0,0.009539335410294555,-0.009539335410294555
2,sphere,2,1.0,0,0.01,0,0.018477703591860923,-0.018477703591860923
3,sphere,2,1.0,1,0.01,0,0.004411103242217987,-0.004411103242217987
4,rosenbrock,2,hw,0,0.01,0,-0.35802570586317956,0.35802570586317956
5,rosenbrock,2,hw,1,0.01,0,-0.35802570586317956,0.35802570586317956
6,rosenbrock,2,1.0,0,0.01,0,-0.35802570586317956,0.35802570586317956
7,rosenbrock,2,1.0,1,0.01,0,-0.35802570586317956,0.35802570586317956
8,ackley,2,hw,0,0.01,0,-3.1912583529110394,3.1912583529110394
9,ackley,2,hw,1,0.01,0,-3.3141314770752395,3.3141314770752395
10,ackley,2,1.0,0,0.01,0,-3.1950344974167924,3.1950344974167924
11,ackley,2,1.0,1,0.01,0,-3.2300641631899727,3.2300641631899727
12,rastrigin,2,hw,0,0.01,0,-2.609264780101697,2.609264780101697
13,rastrigin,2,hw,1,0.01,0,-1.4930207238391393,1.4930207238391393
14,rastrigin,2,1.0,0,0.01,0,-18.96034994030528,18.96034994030528
15,rastrigin,2,1.0,1,0.01,0,-7.169935622042209,7.169935622042209
16,schwefel,2,hw,0,0.01,0,-202.37042249753503,202.37042249753503
17,schwefel,2,hw,1,0.01,0,-202.40467914329227,202.40467914329227
18,schwefel,2,1.0,0,0.01,0,-202.3821082231734,202.3821082231734
19,schwefel,2,1.0,1,0.01,0,-202.37501183733568,202.37501183733568
20,levy,2,hw,0,0.01,0,-0.5256170400119164,0.5256170400119164
21,levy,2,hw,1,0.01,0,-0.5327077180075088,0.5327077180075088
22,levy,2,1.0,0,0.01,0,-0.5281630841437059,0.5281630841437059
23,levy,2,1.0,1,0.01,0,-0.533870645941546,0.533870645941546
24,zakharov,2,hw,0,0.01,0,-0.3887220812956986,0.3887220812956986
25,zakharov,2,hw,1,0.01,0,-0.38406350075383816,0.38406350075383816
26,zakharov,2,1.0,0,0.01,0,-0.4115469659521883,0.4115469659521883
27,zakharov,2,1.0,1,0.01,0,-0.37852138167801647,0.37852138167801647
28,griewank,2,hw,0,0.01,0,-0.8165686599132148,0.8165686599132148
29,griewank,2,hw,1,0.01,0,-1.13680265667873,1.13680265667873
30,griewank,2,1.0,0,0.01,0,-0.1970062166729622,0.1970062166729622
31,griewank,2,1.0,1,0.01,0,-0.9562685510483688,0.9562685510483688
32,elliptic,2,hw,0,0.01,0,-721.8859188035539,721.8859188035539
33,elliptic,2,hw,1,0.01,0,-13343.503256060723,13343.503256060723
34,elliptic,2,1.0,0,0.01,0,-721.887000155043,721.887000155043
35,elliptic,2,1.0,1,0.01,0,-13411.928081089516,13411.928081089516
36,sum_different_powers,2,hw,0,0.01,0,0.022063504066575586,-0.022063504066575586
37,sum_different_powers,2,hw,1,0.01,0,0.01743938358935157,-0.01743938358935157
38,sum_different_powers,2,1.0,0,0.01,0,0.012030299917179783,-0.012030299917179783
39,sum_different_powers,2,1.0,1,0.01,0,0.01617259207162763,-0.01617259207162763
40,alpine1,2,hw,0,0.01,0,0.012223834978676852,-0.012223834978676852
41,alpine1,2,hw,1,0.01,0,0.008549604668681295,-0.008549604668681295
42,alpine1,2,1.0,0,0.01,0,0.014031091418611997,-0.014031091418611997
43,alpine1,2,1.0,1,0.01,0,0.017208533885307666,-0.017208533885307666
44,expanded_scaffer_f6,2,hw,0,0.01,0,-0.7154616082862919,0.7154616082862919
45,expanded_scaffer_f6,2,hw,1,0.01,0,-0.7154616082862919,0.7154616082862919
46,expanded_scaffer_f6,2,1.0,0,0.01,0,-0.7154616082862919,0.7154616082862919
47,expanded_scaffer_f6,2,1.0,1,0.01,0,-0.7154616082862919,0.7154616082862919
